"","X","region","snp","logistic","coxph","survival","logistic"
"1",1,"chr1_150600001_155100000","rs61816761",53.3422158321985,45.7106173725584,0.998974725724745,0.997161784741083
"2",2,"chr10_6600001_12200000","rs1444788",12.4364833181561,12.2822306579277,0.99974378195003,0.999283810507092
"3",3,"chr11_75500001_77400000","rs61894547",32.6811793982442,29.7737264740881,0.999346191432993,0.998173206150451
"4",4,"chr12_46000001_48700000","rs138862598",3.94501179130449,3.83902031871943,0.999931974507687,0.999807315554657
"5",5,"chr12_54500001_56200000","rs62623446",9.48954480688988,9.47313753637916,0.999808720565072,0.999464086983349
"6",6,"chr15_59000001_63400000","rs922783",9.93969131074126,9.81020465461525,0.999785047591848,0.999396831598004
"7",7,"chr17_33500001_39800000","rs4795399",84.80173615502,84.7055947279065,0.998041855842914,0.994536265715583
"8",8,"chr19_31900001_35100000","rs117710327",7.0246389711737,6.96101028619763,0.999849772147289,0.999579619990148
"9",9,"chr2_102100001_105300000","rs72823669",36.6713941330356,35.2641351749025,0.999105134516591,0.997499558513681
"10",10,"chr2_143400001_147900000","rs75643354",3.08643037451352,3.08932764896827,0.999945677551847,0.999847892768249
"11",11,"chr2_236400001_242193529","rs10933595",4.28475315428984,4.23313361610787,0.999918855800405,0.999773916609649
"12",12,"chr6_30500001_32100000","rs2428494",21.0553342718291,20.9098825949795,0.9995427563301,0.998722492516588
"13",13,"chr1_150600001_155100000","rs61816761",53.3422158321985,45.7106173725584,0.998974725724745,0.997161784741083
"14",14,"chr10_6600001_12200000","rs1444788",12.4364833181561,12.2822306579277,0.99974378195003,0.999283810507092
"15",15,"chr11_75500001_77400000","rs11236791",32.4028579045474,32.010661416754,0.999289056267465,0.998015679666847
"16",16,"chr12_46000001_48700000","rs138862598",3.94501179130449,3.83902031871943,0.999931974507687,0.999807315554657
"17",17,"chr12_54500001_56200000","rs62623446",9.48954480688988,9.47313753637916,0.999808720565072,0.999464086983349
"18",18,"chr15_59000001_63400000","rs922783",9.93969131074126,9.81020465461525,0.999785047591848,0.999396831598004
"19",19,"chr17_33500001_39800000","rs4795399",84.80173615502,84.7055947279065,0.998041855842914,0.994536265715583
"20",20,"chr19_31900001_35100000","rs117710327",7.0246389711737,6.96101028619763,0.999849772147289,0.999579619990148
"21",21,"chr2_102100001_105300000","rs72823669",36.6713941330356,35.2641351749025,0.999105134516591,0.997499558513681
"22",22,"chr2_143400001_147900000","rs75643354",3.08643037451352,3.08932764896827,0.999945677551847,0.999847892768249
"23",23,"chr2_236400001_242193529","rs10933595",4.28475315428984,4.23313361610787,0.999918855800405,0.999773916609649
"24",24,"chr6_30500001_32100000","rs2428494",21.0553342718291,20.9098825949795,0.9995427563301,0.998722492516588
