"region" "analysis" "size" "min.abs.corr" "mean.abs.corr" "median.abs.corr"
"1" "chr6_30500001_32100000" "AOA" 1 1 1 1
"2" "chr6_30500001_32100000" "COA" 1 1 1 1
"3" "chr6_30500001_32100000" "AA" 6 0.845412656651446 0.920850702534976 0.903868174551365
"4" "chr6_30500001_32100000" "AA" 1 1 1 1
"5" "chr2_143400001_147900000" "AOA" 32 0.933361354039457 0.971678431782701 0.990134644755242
"6" "chr2_143400001_147900000" "AA" 33 0.933146444335112 0.971180515608042 0.989993046259428
"7" "chr2_102100001_105300000" "AOA" 12 0.923792297964527 0.962984617515565 0.983535893186752
"8" "chr2_102100001_105300000" "COA" 23 0.980828680942193 0.993960981867782 0.995924897162732
"9" "chr2_102100001_105300000" "AA" 19 0.986264660636475 0.996676506832974 0.997341710459055
"10" "chr2_102100001_105300000" "AA" 61 0.991953740601574 0.99832293423843 0.998734726584944
"11" "chr15_59000001_63400000" "COA" 29 0.92575788275831 0.96927912381475 0.975827510287988
"12" "chr15_59000001_63400000" "AA" 19 0.770170741638416 0.951841063521923 0.965287002044355
"13" "chr1_150600001_155100000" "COA" 2 0.849599522686161 0.849599522686161 0.849599522686161
"14" "chr1_150600001_155100000" "COA" 1 1 1 1
"15" "chr1_150600001_155100000" "AA" 1 1 1 1
"16" "chr1_150600001_155100000" "AA" 1 1 1 1
"17" "chr10_6600001_12200000" "AOA" 11 0.979350803741177 0.995475861244456 0.998708950266576
"18" "chr10_6600001_12200000" "COA" 16 0.737717818751099 0.934509447476298 0.98792569437082
"19" "chr10_6600001_12200000" "COA" 3 0.979565667289323 0.986321322349799 0.979708471731981
"20" "chr10_6600001_12200000" "AA" 30 0.673945743828805 0.955591987179226 0.994801225473184
"21" "chr10_6600001_12200000" "AA" 23 0.720600237469932 0.919326459352995 0.984139914714955
"22" "chr10_6600001_12200000" "AA" 2 0.887346486696647 0.887346486696647 0.887346486696647
"23" "chr10_6600001_12200000" "AA" 2 0.96986702568958 0.96986702568958 0.96986702568958
"24" "chr10_6600001_12200000" "AA" 3 0.979505840552524 0.986282286647209 0.979646435403749
"25" "chr10_6600001_12200000" "AA" 10 0.996284705130333 0.998651296005324 0.998989999543147
"26" "chr17_33500001_39800000" "COA" 8 0.998712574268813 0.999370969687715 0.999355504484648
"27" "chr17_33500001_39800000" "AA" 2 0.865241993031598 0.865241993031598 0.865241993031598
"28" "chr17_33500001_39800000" "AA" 10 0.974863754013651 0.993988536541618 0.999131218390573
"29" "chr12_46000001_48700000" "AOA" 11 0.666212094087824 0.878320706538026 0.950801671585226
"30" "chr11_75500001_77400000" "AOA" 15 0.886616657751674 0.947998274257472 0.948655561662055
"31" "chr11_75500001_77400000" "COA" 2 0.94271851274895 0.94271851274895 0.94271851274895
"32" "chr11_75500001_77400000" "COA" 9 0.949134148613073 0.971875807506875 0.951152548784935
"33" "chr11_75500001_77400000" "AA" 10 0.900359909227936 0.961901900540963 0.951040813471211
"34" "chr11_75500001_77400000" "AA" 2 0.942897061671061 0.942897061671061 0.942897061671061
