"","region","snp","logistic","coxph"
"1","chr1_150600001_155100000","rs61816761","53.3422158321985","45.4067252616036"
"2","chr10_6600001_12200000","rs1444788","12.4364833181561","12.6317753650484"
"3","chr11_75500001_77400000","rs61894547","32.6811793982442","29.7833812392998"
"4","chr12_46000001_48700000","rs138862598","3.94501179130449","3.78740195492532"
"5","chr12_54500001_56200000","rs62623446","9.48954480688988","9.64984309333668"
"6","chr15_59000001_63400000","rs922783","9.93969131074126","9.8888364480222"
"7","chr17_33500001_39800000","rs4795399","84.80173615502","85.057837675803"
"8","chr19_31900001_35100000","rs117710327","7.0246389711737","6.96017277318639"
"9","chr2_102100001_105300000","rs72823669","36.6713941330356","35.0171877902738"
"10","chr2_143400001_147900000","rs75643354","3.08643037451352","3.34285556380655"
"11","chr2_236400001_242193529","rs10933595","4.28475315428984","4.35817147609018"
"12","chr6_30500001_32100000","rs2428494","21.0553342718291","20.9807064355897"
"13","chr1_150600001_155100000","rs61816761","53.3422158321985","45.4067252616036"
"14","chr10_6600001_12200000","rs1444788","12.4364833181561","12.6317753650484"
"15","chr11_75500001_77400000","rs11236791","32.4028579045474","33.0307661010295"
"16","chr12_46000001_48700000","rs138862598","3.94501179130449","3.78740195492532"
"17","chr12_54500001_56200000","rs62623446","9.48954480688988","9.64984309333668"
"18","chr15_59000001_63400000","rs922783","9.93969131074126","9.8888364480222"
"19","chr17_33500001_39800000","rs4795399","84.80173615502","85.057837675803"
"20","chr19_31900001_35100000","rs117710327","7.0246389711737","6.96017277318639"
"21","chr2_102100001_105300000","rs72823669","36.6713941330356","35.0171877902738"
"22","chr2_143400001_147900000","rs75643354","3.08643037451352","3.34285556380655"
"23","chr2_236400001_242193529","rs10933595","4.28475315428984","4.35817147609018"
"24","chr6_30500001_32100000","rs2428494","21.0553342718291","20.9807064355897"
